Country,Year,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),Electric power consumption (kWh per capita),Electricity production from coal sources (% of total),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from oil sources (% of total),"Electricity production from renewable sources, excluding hydroelectric (% of total)","Electricity production from renewable sources, excluding hydroelectric (kWh)",Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),GDP growth (annual %),GDP per capita (current US$),Investment in energy with private participation (current US$),Land area (sq. km),"Population, total",Public private partnerships investment in energy (current US$),Renewable energy consumption (% of total final energy consumption),Total greenhouse gas emissions (kt of CO2 equivalent),CO2 emissions (kt),"Literacy rate, adult total (% of people ages 15 and above)","Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)","Electricity production from oil, gas and coal sources (% of total)","Industry (including construction), value added (annual % growth)","Industry (including construction), value added (current US$)",Employment in industry (% of total employment) (modeled ILO estimate),Urban population growth (annual %),Urban population,Research and development expenditure (% of GDP),"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)"
Africa Eastern and Southern,2000,11.58036588,19.95730162,773.9795066,71.50419283,13.08630141,0.00071964,4.681261001,2.016792307,0.4681261,1301000000,727.1055914,46.94725174,3.353760228,709.0610101,8900000,14571611,401600588,550928000,65.44952389,936733.6423,357967.5107,61.79697037,219.5277305,73.52170477,6.121018413,76654906171,9.763503103,3.60226234,115551653,0.45840201059999997,1.553443521,0.118004053
Africa Eastern and Southern,2001,11.90794253,19.97536468,737.4134626,71.15746309,14.54724793,0.000705441,3.780810091,1.780885358,0.490281372,1390000000,732.364434,47.43574595,3.627244087,630.198869,8900000,14571611,412001885,199460000,65.87869899,975817.7601,395061.5236,62.51264954,218.5902492,72.93905389,1.976992665,69758416719,9.818519595,3.655377392,119775502,0.45840201059999997,4.822046509,-1.488836529
Africa Eastern and Southern,2002,12.2851752,21.57650001,762.543066,70.65712466,15.06284254,0.001343068,4.02618187,1.600265432,0.409635717,1220000000,720.0369481,46.19521812,3.901575595,630.4790824,8900000,14571611,422741118,1399180000,65.15211532,1022654.885,406488.1623,62.88304901,211.4827927,72.25873316,4.271120056,73267612410,9.908930996,3.716957913,124227507,0.528556013,2.487862218,-0.104441644
Africa Eastern and Southern,2003,12.6076412,22.52926483,768.2350392,71.55464699,13.9286953,0.000964101,4.069472304,1.68171433,0.521900262,1624000000,733.7822339,47.27177854,3.101958198,816.4376622,500030000,14571611,433807484,1299998000,64.72959729,1062715.693,428637.7792,63.53424835,214.2970455,73.23732542,1.848180282,94697499547,9.890158616,3.70808214,128833965,0.594806944,2.478118268,0.24963215
Africa Eastern and Southern,2004,12.99058937,23.74953137,771.9625006,71.04659452,13.89548181,0.112368989,4.092129528,2.028459269,0.582359174,1902000000,751.434195,48.86205833,5.507830267,989.2208448,8900000,14720190.92,445281555,732880000,63.77519475,1105457.223,459742.3344,64.81861115,212.8546586,73.18742277,6.690177783,1.1915E+11,9.93981141,3.736204967,133647466,0.626331316,1.859474113,0.497308842
Africa Eastern and Southern,2005,13.39440406,23.49301278,775.3353596,70.73980078,14.63033508,0.347646762,3.396172049,2.082271785,0.561166833,1866000000,742.7871137,48.60696669,6.11215492,1124.220303,8900000,14720236.09,457153837,482556000,63.24390961,1132622.366,460840.9102,63.14611053,202.7550746,73.16971933,8.07015201,1.43917E+11,9.893190435,3.814603563,138745587,0.627721796,2.057838843,0.267263776
Africa Eastern and Southern,2006,13.83525455,25.19122064,783.748463,70.09303647,15.54926324,0.390701015,2.903757138,2.24949947,0.571135954,1972000000,736.8856407,48.24439321,6.558305779,1230.194793,8900000,14720228.25,469508516,1128800000,62.90422055,1133480.605,467829.2222,61.25045013,193.5509499,72.73323696,8.041373224,1.62203E+11,9.935013861,3.806357459,144026740,0.45840201059999997,1.267837466,1.207712608
Africa Eastern and Southern,2007,14.25711979,26.80793711,790.6646844,69.90798008,15.24418488,0.342158963,3.153267904,2.560340971,0.549460485,1972000000,749.8769833,49.55117156,6.577085836,1374.086248,8900000,14720274.67,482406426,1434046000,61.64290919,1197721.01,488797.6487,61.97698975,189.3969389,72.81048002,8.696708496,1.93927E+11,9.943313451,3.61360814,149231302,0.661804216,2.473181444,0.652773599
Africa Eastern and Southern,2008,14.68720331,25.94331608,754.2110339,69.11001635,15.22148887,0.419139582,3.672837683,2.71593411,0.617976688,2188000000,773.6424968,50.8885624,4.312488826,1433.258304,8900000,14720236.89,495748900,2524544000,62.02936947,1257408.972,522352.2523,62.43222046,192.3787584,72.24509005,2.76607984,2.18218E+11,9.585211486,4.122775797,155383774,0.45840201059999997,3.233404733,0.096187995
Africa Eastern and Southern,2009,15.12411246,26.19389521,717.7699654,67.47753733,16.50146219,0.594858761,3.665910151,2.812554055,0.705070803,2463000000,759.7394135,49.88287297,0.663960953,1417.130587,8900000,14720269.28,509410477,1434046000,61.42042071,1239747.206,504690.3711,63.04637146,193.0874458,70.88495015,-2.422079179,1.92581E+11,9.541508904,4.113937276,161776165,0.45840201059999997,2.601695571,0.273332737
Africa Eastern and Southern,2010,15.54521368,27.40011023,734.3057708,67.30660928,17.79754291,0.669259322,3.306397931,1.94191782,0.735666025,2692000000,749.1356994,49.03532859,5.158675971,1649.639146,8900000,14720957.06,523459657,2044802000,63.09983684,1296316.123,532614.1402,63.66257858,185.656104,69.91778642,6.074887067,2.3682E+11,9.61625955,4.129107029,168456076,0.587086245,1.636020109,0.401614974
Africa Eastern and Southern,2011,16.02867718,28.91434832,734.8228075,66.52821975,17.90911011,0.716343021,3.608978907,2.256480517,0.738260979,2762000000,743.4141883,48.30386239,3.706906333,1799.623009,8900000,14721207.05,537792950,3097368000,63.12465243,1299170.768,525337.8893,65.8645401,182.1415934,69.50104329,2.997365487,2.75469E+11,9.768435224,4.131388529,175415651,0.45840201059999997,1.838492283,0.305667489
Africa Eastern and Southern,2012,16.44749871,31.66692787,697.6579894,66.18081849,18.06179966,0.795824362,3.212862016,2.80379593,0.821894934,3058000000,722.2504827,47.57241299,0.845015615,1765.250073,8900000,14845137.14,552530654,3097368000,61.71839676,1308707.977,546775.865,67.39182281,181.9502523,69.78043878,-0.601271074,2.74837E+11,9.868491644,4.072096167,182558745,0.45840201059999997,2.529338914,0.527122468
Africa Eastern and Southern,2013,16.91462501,31.69518347,691.9580898,64.48996758,18.69779864,0.862889833,3.732574052,3.122914998,0.97085029,3669000000,719.0057426,46.89518023,4.219599036,1736.222507,8900000,14845099.33,567892149,3048220000,61.08268528,1331479.401,568547.519,68.44510651,178.5102607,68.47577241,2.863727782,2.73211E+11,9.977197053,4.13567315,190108778,0.45840201059999997,2.186076109,1.15575703
Africa Eastern and Southern,2014,17.39234918,31.85925734,680.1499426,62.32286735,19.69513897,1.090569723,3.58003778,3.193329335,1.995052227,7687000000,734.2182972,49.30429209,3.994681915,1724.534381,8900000,14845052.47,583651101,3163220000,61.49957684,1358902.155,591680.972,68.82797241,176.3439482,66.60676641,4.226679007,2.716E+11,10.17900509,4.189535635,198073453,0.45840201059999997,2.752528273,1.055058324
Africa Eastern and Southern,2015,17.89200458,33.90351465,1607.64446,61.22450253,19.5414253,1.372857743,0.889182404,3.330766475,2.818459921,10926000000,801.2295449,0,2.974101283,1545.559084,8900000,14845106.13,600008424,2199146000,62.12833789,1356434.329,576265.992,69.28249359,58.237320954000005,65.92812675,2.89318399,2.304E+11,10.40071908,4.282729397,206556403,0.45840201059999997,3.108873057,0.799475402
Africa Eastern and Southern,2016,18.35999256,38.85144389,612.2137311,2.786346042,36.99642257399999,21.603925768000003,0.7109897923999999,30.85183342,0.000782548,2200000,846.7468757,48.571332139999996,2.22452441,1436.094404,80200000,14845113.97,616377605,3017902000,62.45768836,1370883.206,580219.242,70.05960083,226.877345,55.24210523199999,1.987343186,2.16668E+11,10.53029001,4.128188658,215083441,0.47013200940000005,1.890702632,0.871600133
Africa Eastern and Southern,2017,18.79515119,40.19733187,612.2137311,2.786346042,36.99642257399999,21.603925768000003,0.7109897923999999,30.85183342,0.000782548,2200000,846.7468757,48.571332139999996,2.546973273,1613.668488,80200000,14845102.05,632746570,746154000,61.89113188,1386782.253,590905.482,69.99945068,226.877345,55.24210523199999,2.586761355,2.50664E+11,10.68189212,4.021131501,223732229,0.47013200940000005,0.990503696,1.336496211
Africa Eastern and Southern,2018,19.29517592,43.02833222,612.2137311,2.786346042,36.99642257,21.603925768000003,0.7109897923999999,30.851833422000006,0.000782548,2200000,846.7468757,48.571332139999996,2.513983566,1550.111762,80200000,14845117.14,649757148,3163220000,62.2426314,1399770.837,598720.9575,70.42024994,226.87734496000002,55.24210523199999,2.738981042,2.70359E+11,10.77592294,4.107632611,232922327,0.8943819982000001,1.345126006,0.537320132
Africa Eastern and Southern,2019,19.78815582,44.38977283,621.2640995,2.8432705514000003,37.46213824,22.366290052000004,0.7217845850000001,29.217354569999998,0.000513111,1600000,848.560959,48.53348567,2.087765413,1499.954437,80200000,14845129.4,667242986,3163220000,63.3870897,1430850.662,610723.5,71.5740509,219.44586420000002,54.42691517,1.747379223,2.64528E+11,10.77762067,4.090983086,242451140,0.47013200940000005,1.502827164,0.220490013
Africa Eastern and Southern,2020,20.27959879,46.26862057,633.8245629,2.664993028,38.19383474,22.74694961,0.729153251,27.752202907999997,0.042360044799999996,151200000,846.684571,48.34354363,-2.888680575,1353.927527,80200000,14845090.09,685112979,1437234000,66.1234487,1389908.12,544952.503,71.88990784,210.2817627,53.16414555,-4.857427505,2.36121E+11,10.74932222,4.068589242,252315481,0.563209259,1.39868304,-0.234341246
Africa Western and Central,2000,4.804412775,34.13797075,115.9705296,0.358191418,49.46490822,32.79441429,0,5.282660101,0.159196186,60000000,544.713408,20.85686294,3.73268737,522.7727721,68220000,9045780,269611898,427600000,83.27330481,593150.7346,140653.453,47.38473129,184.2245075,38.43526581,5.144116501,45162762167,10.59308709,4.145189491,95272890,0.24080599979999998,1.816368806,0.748849908
Africa Western and Central,2001,4.935729952,35.23269081,118.1559735,0.337248556,47.95724796,32.56461986,0,5.541950145,0.176174619,70000000,551.7317704,21.99654048,5.205159856,535.8979172,68220000,9045780,277160097,567882000,82.12037223,594930.5515,147879.42,48.75516891,183.5493246,38.44381856,4.683360351,41681420812,10.66707371,4.567985709,99624942,0.24080599979999998,2.170840326,-0.259982278
Africa Western and Central,2002,5.170610096,35.72292588,132.5799801,0.308242693,42.64095774,37.09043372,0,4.619329311,0.168132378,78000000,555.3548229,22.23309518,9.920820632,621.8625046,68220000,9045780,284952322,446200000,81.86492539,581223.1395,138656.59,49.42502975,172.8914,42.01800572,2.463057925,44803309611,10.74367346,4.556128123,104163982,0.24080599979999998,2.487861422,-0.010565995
Africa Western and Central,2003,5.327995837,39.82458858,122.647806,0.338242021,42.04485452,37.57228941,0,4.975357303,0.150837658,66000000,564.633169,23.28590336,5.535666518,700.4433841,448770000,9045780,292977949,833126000,80.81459057,620126.5104,148185.467,49.50099182,171.3801223,42.88588874,9.082008833,56078211290,10.83351235,4.555917419,108909607,0.24080599979999998,2.564228009,0.078058464
Africa Western and Central,2004,5.556741401,37.49305796,137.33014,0.308601201,41.66116219,40.86848067,0,4.955772234,0.326754213,162000000,571.0223182,22.57797875,7.999780311,843.9898144,68220000,9045780,301265247,1079360000,80.87577047,628678.0686,149751.265,51.55960846,163.0759285,46.13285411,2.324070552,74135349431,10.96810772,4.559349847,113875177,0.24080599979999998,1.830276429,0.016244612
Africa Western and Central,2005,5.779938007,37.79216332,143.5521397,0.315286455,40.13915848,40.64202042,0,5.928582643,0.353200649,177000000,577.4778488,22.67614909,5.827778856,1003.436618,146020000,9045780,309824829,290600000,81.05681649,651416.4673,152041.539,51.61544037,160.577849,46.88588952,2.168435151,91917593070,10.89864682,4.570264686,119079574,0.305669997,2.984380976,0.320902793
